Organization,County,Org ID,Program Number,Program Name,Affliate,Last Updated,Mon-Hours,Tues-Hours,Wed-Hours,Thur-Hours,Fri-Hours,Sat-Hours,Sun-Hours,Street Address,Addressline 2,City,State,Zip,website,Program Description,Notes,Serves
Greensboro Urban Ministry,Guilford,GSOUM,0001,Food Pantry,,,9:30am - 3:30pm,9:30am - 3:30pm,9:30am - 3:30pm,9:30am - 3:30pm,9:30am - 3:30pm,,,305 W. Gate City Blvd,,Greensboro,NC,27406,https://greensborourbanministry.org/,,,
Greensboro Urban Ministry,Guilford,GSOUM,0002,Potter's House Community Kitchen,,,10:30am-12:30pm,,,,,,,306 W. Gate City Blvd,,Greensboro,NC,27406,https://greensborourbanministry.org/,,,
High Point Food Alliance,Guilford,HPFA,0001,High Point Food Alliance,,,,,,,,,,815 Phillips Avenue,,High Point,NC,,https://findfood.ghpfa.org/,,,
Out of the Garden Project,Guilford,OTGP,0001,Hot Meals and Food Pantry,,,11:00am-12:00pm,,11:00am-12:00pm,,11:00am-12:00pm,,,1806 Merrit Drive,,Greensboro,NC,27407,https://outofthegardenproject.org/,,,
Guilford County Schools,Guilford,GCSNC,0001,Grab & Go Meals - Alderman Elementary,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,4211 Chateau Drive,, Greensboro,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0002,Grab & Go Meals - Allen Jay Middle,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1201 E. Fairfield Road,, High Point,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0003,Grab & Go Meals - Archer Elementary,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,2610 Four Seasons Blvd.,,Greensboro,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0004,Grab & Go Meals - Bluford Elementary,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1901 Tuscaloosa Street,, Greensboro,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0005,Grab & Go Meals - Cone Elementary,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,2501 N. Church Street,, Greensboro,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0006,Grab & Go Meals - Dudley High,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1200 Lincoln Street,, Greensboro,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0007,Grab & Go Meals - Eastern High,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,415 Peeden Drive,, Gibsonville,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0008,Grab & Go Meals - Fairview Elementary,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,608 Fairview Street,, High Point,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0009,Grab & Go Meals - Foust Elementary,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,2610 Floyd Street,, Greensboro,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0010,Grab & Go Meals - Hairston Middle,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,3911 Naco Road ,,Greensboro,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0011,Grab & Go Meals - High Point Central High,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,801 Ferndale Blvd. ,,High Point,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0012,Grab & Go Meals - Hunter Elementary,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1305 Merritt Drive,, Greensboro,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0013,Grab & Go Meals - Irving Park Elementary,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1310 Sunset Drive,, Greensboro,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0014,Grab & Go Meals - Jackson Middle,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,2200 Ontario Street,, Greensboro,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0015,Grab & Go Meals - Jamestown Elementary,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,108 Potter Drive,, Jamestown,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0016,Grab & Go Meals - Johnson Street Global,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1601 Johnson Street,, High Point,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0017,Grab & Go Meals - Jones Elementary,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,502 South Street,, Greensboro,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0018,Grab & Go Meals - Kirkman Park Elementary,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1101 N. Centennial Street,, High Point,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0019,Grab & Go Meals - Montlieu Elementary,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,1105 Montlieu Avenue,, High Point,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0020,Grab & Go Meals - Morehead Elementary,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,4630 Tower Road,, Greensboro,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0021,Grab & Go Meals - Northeast High,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,6700 McLeansville Road,, McLeansville,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0022,Grab & Go Meals - Northwest High,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,5240 Northwest School Road,, Greensboro,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0023,Grab & Go Meals - Oak Hill Elementary,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,320 Wrightenberry Street,, High Point,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0024,Grab & Go Meals - Oak View Elementary,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,614 Oakview Road,, High Point,NC,,https://www.gcsnc.com/,,,
Guilford County Schools,Guilford,GCSNC,0025,Grab & Go Meals - Parkview Elementary,,,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,11:00am-12:00pm,,,325 Gordon Street,, High Point,NC,,https://www.gcsnc.com/,,,
